Beruf,Lehrbetrieb,Strasse,PLZ,Ort,Kontaktperson,Telefon,Email,Homepage,Erreichbarkeit,D/F,SL,BM,LS,IV,ZB,Anzahl,Bewerbung bis
Koch/Köchin EFZ,Ruferheim,Allmendstrasse 52,2560,Nidau,Elisabeth Kuoni,032 332 27 14,elisabeth.kuoni@ruferheim.ch,,Montag bis Donnerstag 07:00 - 16:00 Uhr,D,E,True,False,False,True,1.0,31.07.2023
Koch/Köchin EFZ,Golfhotel Les Hauts de Gstaad & SPA  ,Bahnhofstrasse 7,3777,Saanenmöser,Andrea Sprenger ,033 748 68 68,avsl@golfhotel.ch,,,D,,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Heller Gastro AG Eiger Selfness Hotel,Dorfstrasse 133,3818,Grindelwald,Nathalie Caetano,033 854 31 48,hrm@eiger-grindelwald.ch,,Montag - Samstag,D,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,HLS Hotels & Spa AG Hotel Beatus,Seestrasse 300,3658,Merligen,Karin Bigler,033 748 60 91,bewerbungen@beatus.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,HLS Hotels & Spa AG Hotel Ermitage,Dorfstrasse 46,3778,Schönried,Karin Bigler,033 748 60 92,bewerbungen@ermitage.ch,,,D/F,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Hotel al ponte,Wangenstrasse 55,3380,Wangen an der Aare,Christine Bottinelli,032 636 54 54,christine.bottinelli@alponte.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Hotel Arc-en-ciel AG Tim Wetli,Egglistrasse 24,3780,Gstaad,Tim Wetli,033 748 43 43,t.wetli@arc-en-ciel.ch,,,D,E,False,False,False,True,1.0,01.07.2023
Koch/Köchin EFZ,Hotel Bernerhof,Bahnhofstrasse 2,3780,Gstaad,Miriam Hunziker,033 748 88 44,mhunziker@bernerhof-gstaad.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Hotel Gstaaderhof AG,Lauenenstrasse 19,3780,Gstaad,Christof Huber,033 748 63 63,work@gstaaderhof.ch,,Bürozeiten,D,E,False,False,False,True,1.0,31.07.2023
Koch/Köchin EFZ,Konzett Benjamin,Dorfstrasse 85,3818,Grindelwald,Benjamin Konzett,033 854 70 70,hr@kreuz-post.ch,,Täglich,D,,True,True,False,True,2.0,31.07.2023
Koch/Köchin EFZ,Lenkerhof gourmet spa resort  Human Resources,Badstrasse 20,3775,Lenk im Simmental,Ursula Lünse,033 736 36 36,bewerbung@lenkerhof.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Hotel Metropole AG,Höheweg 37,3800,Interlaken,Esther Seiring,033 828 66 66,personal@metropole-interlaken.ch,http://www.metopole-interlaken.ch/,,D,E,True,False,False,False,1.0,30.06.2023
Koch/Köchin EFZ,Hotel Restaurant Florida AG,Aareweg 25,2557,Studen BE,Luis Gerpe,032 374 28 30,us@florida.ch,,,D/F,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Hotel Seepark,Seestrasse 47,3600,Thun,Nathalie Wyss,033 226 12 12,hr@seepark.ch,,,D,E,False,False,False,True,2.0,31.07.2023
Koch/Köchin EFZ,MYSTARHOTEL AG Sternen Muri,Thunstrasse 80,3074,Muri b. Bern,Simon Hesseler,031 950 71 11,direktion@sternenmuri.ch,,,D,E,False,False,False,True,1.0,31.07.2023
Koch/Köchin EFZ,jetzt Niedersimmental AG jetzt Lindenmatte,Lindenmatte 299o,3762,Erlenbach im Simmental,Denise Dowling,033 681 86 92,denise.dowling@jetzt-nst.ch,,Mo - Fr    07.00 - 16.00 Uhr,D,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Kastanienpark,Krankenhausstrasse 14,3672,Oberdiessbach,Monika Ulmann,031 682 88 88,mulmann@kastanienpark.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Klinik Schönberg AG Christoph Jäggi,Schönbergstrasse 40,3654,Gunten,Uwe Schiessl,033 252 35 10,personal@schoenberg.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Kreuz Gastro GmbH Hotel Weisses Kreuz,Marktplatz 15,3250,Lyss,Christian Meffle,032 387 07 40,kueche@kreuz-lyss.ch,,,D,E,True,False,False,False,1.0,31.05.2023
Koch/Köchin EFZ,Landblick AG Alters- und Pflegeheim Grosshöchstetten,Erlessenweg 23,3506,Grosshöchstetten,Niklaus Moser,031 529 55 55,n.moser@landblick.ch,https://www.landblick.ch/freie-stellen#freieStellen,,D,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Bären Langenthal,St. Urbanstrasse 1,4900,Langenthal,Ramon Stutz,062 919 17 17,info@baeren-langenthal.ch,,,D,E,False,False,False,True,1.0,31.10.2023
Koch/Köchin EFZ,Landgasthof Bären Madiswil,Kirchgässli 1,4934,Madiswil,Patrick Pfister,062 957 70 10,gasthof@baeren-madiswil.ch,,Dienstag bis Samstag,D,E,True,False,False,True,1.0,31.07.2023
Koch/Köchin EFZ,Restaurant Hirsernbad,Hirsern 102,4937,Ursenbach,Roger Duss,062 965 32 56,hirsernbad@hirsernbad.ch,,,D,E,False,False,False,True,1.0,23.07.2023
Koch/Köchin EFZ,Landgasthof Kreuz GmbH Y.+A. Nyffeler-Eisenhut,Marktgasse 9,3454,Sumiswald,Arthur Nyffeler,034 431 15 26,kreuz@kreuz-sumiswald.ch,http://www.kreuz-sumiswald.ch/,,D,E,False,False,False,False,1.0,31.08.2023
Koch/Köchin EFZ,Landgasthof Schönbühl  ,Alte Bernstrasse  11,3322,Urtenen-Schönbühl,Roland Eckert-Gerber,031 859 69 69,r.eckert@gasthof-schoenbuehl.ch,,,D,E,False,False,False,True,1.0,31.07.2023
Koch/Köchin EFZ,Waffenplatzküche Wangen an der Aare,Kaserne,3380,Wangen an der Aare,Nicolas Gougain,058 480 60 10,nicolas.gougain@vtg.admin.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,LVb Panzer und Artillerie Verpflegungszentrum,Kaserne,3609,Thun,Andy Wiedmer,0584683661,andy.wiedmer@vtg.admin.ch,https://www.vtg.admin.ch/de/mein-militaerdienst/dienstleistende/verpflegung/lernende.html,,D,E,True,True,False,True,2.0,30.06.2023
Koch/Köchin EFZ,Stiftung Alters- und Pflegeheim Oertlimatt,Leissigenstrasse 30,3704,Krattigen,Björn Witzke,033 655 64 64,info@oertlimatt.ch,,,D,E,True,True,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Privatklinik Wyss,Fellenbergstrasse 34,3053,Münchenbuchsee,Andreas Scheider,031 868 33 17,personaladministration@pkwyss.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Regionalspital Emmental AG Human Resources,Oberburgstrasse 54,3400,Burgdorf,Sandra Balli,034 421 21 18,sandra.balli@spital-emmental.ch,,,D,E,False,False,False,False,2.0,31.07.2023
Koch/Köchin EFZ,Klinik Bethesda Tschugg Personalleiterin,Bethesda 6,3233,Tschugg,Marco Wiemann,032 338 42 30,Wiemann.M@klinik-bethesda.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Residenz Vivo,Schlossstrasse 28-34,3098,Köniz,Alexander Grünert,031 978 46 46,bewerbung@residenz-vivo.ch,http://www.residenz-vivo.ch/,,D,E,False,False,False,True,1.0,31.07.2023
Koch/Köchin EFZ,Restaurant Aarbergerhof,Aarbergergasse 40,3011,Bern,Stojan Plüss,031 311 08 70,info@aarbergerhof.ch,,,D,E,False,False,False,False,2.0,31.07.2023
Koch/Köchin EFZ,Restaurant Dampfzentrale,Marzilistrasse 47,3005,Bern,Stefan Ruprecht,031 3123300,dampfzentrale@taberna.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Restaurant Della Casa,Schauplatzgasse 16,3011,Bern,Michael Montag,031 311 21 42,info@della-casa.ch,,9-14 / 17.30-21,D,,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Restaurant Du Nord  ,Lorrainestrasse 2,3013,Bern,Leyendecker Natalina,031 332 90 90,geniessen@du-nord.ch,,,D,E,True,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Restaurant Landhaus Liebefeld AG Yaki Gallardo ,Schwarzenburgstrasse 134,3097,Liebefeld,Yaki Gallardo,031 971 68 89,info@landhaus-liebefeld.ch,,,F,M,False,False,False,True,2.0,31.07.2023
Koch/Köchin EFZ,Gasthof Löwen,Dorf 13,3376,Berken,Markus Meier ,062 963 17 44,info@loewenberken.ch,www.loewenberken.ch,,D,E,True,False,False,True,1.0,31.07.2023
Koch/Köchin EFZ,Restaurant Ringgenberg Taberna Gastro Kultur AG,Kornhausplatz 19,3011,Bern,Barbara Wüthrich,031 311 25 40,ringgenberg@taberna.ch,,,D,E,False,False,False,True,1.0,31.07.2023
Koch/Köchin EFZ,Restaurant Schärmehof,von Maystrasse 43,3604,Thun,Björn Reinhardt,033 334 82 93,bjoern.reinhardt@schaermehof.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Restaurant Süder - Zu Tisch GmbH,Weissensteinstrasse 61,3007,Bern,Fankhauser Renate,031 371 57 67,info@restaurant-sueder.ch,https://www.restaurant-sueder.ch/,Dienstag bis Samstag ab 10.00 Uhr,D,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Rotonde AG Rest. Arcade,Zentralstrasse 44,2501,Biel/Bienne,Ron Fischer,032 322 36 02,arcade@stadthausag.ch,,,D/F,E,True,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,GSTAAD PALACE,Palacestrasse 28,3780,Gstaad,Fiona Dagostin,033 748 58 18,hr@palace.ch,,,D,E,False,False,False,False,2.0,31.07.2023
Koch/Köchin EFZ,Rüttihubelbad AG Personalwesen,Rüttihubel 29,3512,Walkringen,Thomas Fail,031 700 82 00,bewerbung@ruettihubelbad.ch,,,D,,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Schweizer Luftwaffe Elektronische Kriegsführung Schulen 64 (EKF S 64),Kaserne Jassbach,3609,Thun,Yves Kläy ,031 770 55 18,yves.klaey@vtg.admin.ch,,,D,M,False,False,False,False,2.0,31.07.2023
Koch/Köchin EFZ,SEEBURG,Untere Bönigstrasse 35,3800,Interlaken,Adrian Schmocker,033 845 84 00,berufsintegration@seeburg.ch,,,D,E,False,False,False,True,2.0,31.07.2023
Koch/Köchin EFZ,Senevita Westside,Ramuzstrasse 14-16,3027,Bern,Paulo Dubach,031 990 75 81,paulo.dubach@senevita.ch,https://jobs.senevita.ch/,,D/F,E,False,False,False,True,1.0,31.07.2023
Koch/Köchin EFZ,Seniorenzentrum Jurablick z.H. Müller Marcel,Kirchweg 52,3324,Hindelbank,Marcel Müller,034 421 99 77,kueche@sz-hindelbank.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Seniorenzentrum Oberburg Daniel Möri daniel.moeri@seniorenzentrum-oberburg.ch,Krieggasse 12,3414,Oberburg,Daniel Möri,034 427 72 27,daniel.moeri@seniorenzentrum-oberburg.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Stiftung Lerchenbühl Regula Wittwer,Lerchenbühlweg 9,34001,Burgdorf,Regula Wittwer,034 428 68 68,info@stlb.ch,,z. Bürozeiten Mo-Fr,D,,False,False,True,True,1.0,31.07.2023
Koch/Köchin EFZ,SV (Schweiz) AG Berufsbildung,,,,Jacqueline Kohler,043 814 14 16,berufsbildung@sv-group.ch,http://www.sv-group.ch/de/jobs-karriere/jobs,,D,,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Techpharma Management AG Hotel Berchtold & B5,Bahnhofstrasse 90,3401,Burgdorf,Donata Zimmermann,034 428 84 28,donata.zimmermann@hotel-berchtold.ch,,,D,E,True,False,False,True,1.0,31.07.2023
Koch/Köchin EFZ,Tertianum AG Mitteldorfpark Stefan Bütikofer,Mitteldorfstrasse 16,3072,Ostermundigen,Stefan Bütikofer,031 544 16 16,mitteldorfpark@tertianum.ch,,,D,E,True,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Tertianum Bellevue-Park Thun AG,Göttibachweg 2,3600,Thun,Adrian Aebersold,033 227 07 12,adrian.aebersold@tertianum.ch,,,D,,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Tertianum Viktoria AG,Schänzlistrasse 63,3000,Bern 22,Michel Nick Loosli,031 337 21 11,m.loosli@az-viktoria.ch,,An Allgemeinen Bürozeiten,D,E,False,False,False,True,1.0,31.07.2023
Koch/Köchin EFZ,The Cambrian AG Herr Mario Ilak,Dorfstrasse 7,3715,Adelboden,Mario Ilak,033 673 83 83,mario.ilak@thecambrianadelboden.com,http://www.thecambrianadelboden.com/,,D,E,False,False,False,True,1.0,31.07.2023
Koch/Köchin EFZ,tilia Stiftung für Langzeitpflege,untere Zollgasse 28,3006,Ostermundigen,Irene Widmer,031388 67 01,lehrstelle@tilia-stiftung.ch,,,D,E,True,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,Tropenhaus Frutigen A Division der Coop Genossenschaft,Tropenhausweg 1,3714,Frutigen,Jenny Wüthrich,033 672 11 68,personal@tropenhaus-frutigen.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,,,,,Christine Dubulluit,031 930 95 10,info@upd.ch,https://jobs.upd.ch/offene-stellen/lehrstelle-koch-koechin-efz/289edf8f-310a-42ea-bc6a-2fa96db26875,,D,,False,False,False,False,1.0,31.07.2023
Koch/Köchin EFZ,VICTORIA-JUNGFRAU Grand Hotel & Spa,Höheweg 41,3800,Interlaken,Oskar Schönbeck,033 828 26 78,hr@victoria-jungfrau.ch,,tagsüber,D,E,False,False,False,True,2.0,31.07.2023
Koch/Köchin EFZ,Waldhotel Doldenhorn Patric Maeder,Doldenhornstrasse 26,3718,Kandersteg,Helene Grossen,033 675 81 81,admin@doldenhorn.ch,,,D,E,False,False,False,True,1.0,31.07.2023
Koch/Köchin EFZ,Wohn- und Pflegeheim Betriebs AG HR,Wuhlstrasse 110 A,3068,Utzigen,Anita Jaggi,031 838 21 11,anita.jaggi@schlossutzigen.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Küchenangestellte/r EBA,Adler Adelboden,Dorfstrasse 19,3715,Adelboden,Karin Fankhauser,033 673 41 41,karin@adleradelboden.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Küchenangestellte/r EBA,Alters- und Pflegezentrum La Lisière AG,Chemin de la Maison Blanche 1,2533,Evilard,Patrick Brägger,032 328 50 70,kuechenleitung@la-lisiere.ch,,,D/F,,False,False,False,False,1.0,31.07.2023
Küchenangestellte/r EBA,Landgasthof Bären Simon Haueter Küchenchef Stv.,Burgdorfstrasse 1,3423,Ersigen,Beat Basler,034 448 88 88,info@baeren-ersigen.ch,,Mittwoch bis Sonntag,D,E,False,False,False,False,1.0,15.07.2023
Küchenangestellte/r EBA,Domicil Bern AG Bildung,,,,Tobias Glanzmann,031 997 47 80,bildung@domicilbern.ch,https://www.domicilbern.ch/arbeiten-bei-uns/ausbildung/online-bewerbung/,,D,,False,False,False,False,1.0,31.07.2023
Küchenangestellte/r EBA,Gemeindeverband Kirchberg BE Seniorenzentrum Emme,Eystrasse 8,3422,Kirchberg BE,Thomas Bodack,0344479797,thomas.bodack@seniorenzentrum-emme.ch,,,D,E,False,False,False,True,1.0,31.07.2023
Küchenangestellte/r EBA,HLS Hotels & Spa AG Hotel Beatus,Seestrasse 300,3658,Merligen,Karin Bigler,033 748 60 91,bewerbungen@beatus.ch,,,D,E,False,False,False,True,1.0,31.07.2023
Küchenangestellte/r EBA,Stiftung Alters- und Pflegeheim Oertlimatt,Leissigenstrasse 30,3704,Krattigen,Björn Witzke,033 655 64 64,info@oertlimatt.ch,,,D,E,False,True,False,False,1.0,31.07.2023
Küchenangestellte/r EBA,Schlössli Pieterlen,Schlössliweg 10,2542,Pieterlen,Martin Pfeuti,032 377 11 11,martin.pfeuti@schloessli-pieterlen.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Küchenangestellte/r EBA,SEEBURG,Untere Bönigstrasse 35,3800,Interlaken,Adrian Schmocker,033 845 84 00,berufsintegration@seeburg.ch,,,D,E,False,False,True,True,2.0,31.07.2023
Küchenangestellte/r EBA,Stiftung Lerchenbühl Regula Wittwer,Lerchenbühlweg 9,3400,Burgdorf,Regula Wittwer,034 428 68 68,info@stlb.ch,,z. Bürozeiten Mo-Fr,D,E,False,False,True,True,1.0,31.07.2023
Lackierassistent/in EBA Carrosserie,Autocenter Fatjani AG Carrosserie & Lackiererei,Leenrütimattweg 3,4704,Niederbipp,Afrim Fatjani,032 633 00 63,info@fatjani.ch,,,D,M,True,False,False,False,1.0,31.07.2023
Lackierassistent/in EBA Carrosserie,Th. Willy AG Auto-Zentrum,,,,Kurt Moro,031 998 25 11,hr@thwilly.ch,http://www.thwilly.ch/,Montag bis Freitag 07.00 bis 17.00,D,E,False,False,False,False,1.0,31.07.2023
Landmaschinenmechaniker/in EFZ,Dubler Agrar Service AG,Hauptstrasse 5,2575,Hagneck,Marcel Dubler,032 396 23 49,sekretariat@dubler-agrar-service.ch,,,D,E,False,False,False,False,1.0,21.07.2023
Landmaschinenmechaniker/in EFZ,Rudolf Willener GmbH Landmaschinen + Garage,Schwandenstrasse 142,3657,Schwanden (Sigriswil),Werner Willener,033 251 18 52,w.willener@bluewin.ch,,,D,,False,False,False,False,1.0,31.07.2023
Landmaschinenmechaniker/in EFZ,Zaugg AG Eggiwil Effi Bischoff,Holzmatt 651b,3537,Eggiwil,Effi Bischoff,034 491 81 11,hr@zaugg.swiss,,Montag bis Mittwoch 7h30 - 16h30,D,E,True,False,False,False,1.0,31.10.2023
Maler/in EFZ,Frepa Malerei AG,Gutenbergstrasse 3,2504,Biel/Bienne,Marco Genovese,032 342 36 50,personal@frepa.ch,,,D,E,False,False,False,False,3.0,31.07.2023
Maler/in EFZ,Kilchherr AG Malerei-Gipserei,Burgerstrasse 3,3600,Thun,Klaus Lapön,033 225 12 00,info@kilchherr.ch,,,D,E,True,False,False,True,2.0,31.07.2023
Maler/in EFZ,Malpur Facility Services AG  ,Moosweg 2,2553,Safnern,Laurent Müller,031 380 87 85,laurent.mueller@malpur.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Maler/in EFZ,Roman Stalder GmbH Malerei / Gipserei,Schulgasse 5,2560,Nidau,Andreas Stalder,032 331 97 40,info@malerei-stalder.ch,,,D,E,False,False,False,False,2.0,31.07.2023
Maler/in EFZ,slanzi malen gipsen ag,Hausenstrasse 62,3860,Meiringen,Norbert Durrer,033 971 36 45,info@slanzi.ch,,,D,E,False,False,False,True,1.0,31.07.2023
Maler/in EFZ,Ziörjen GmbH Malergeschäft,Gässli,3775,Lenk im Simmental,Jürg Ziörjen ,033 733 14 76,farbe@malerzioerjen.com,,,D,E,False,True,False,False,1.0,31.07.2023
Malerpraktiker/in EBA,Kilchherr AG Malerei-Gipserei,Burgerstrasse 3,3600,Thun,Klaus Lapön,033 225 12 00,info@kilchherr.ch,,,D,E,False,False,False,False,2.0,31.07.2023
Malerpraktiker/in EBA,Roman Stalder GmbH Malerei / Gipserei,Schulgasse 5,2560,Nidau,Andreas Stalder,032 331 97 40,info@malerei-stalder.ch,,,D,E,False,False,False,False,2.0,31.07.2023
Malerpraktiker/in EBA,slanzi malen gipsen ag,Hausenstrasse 62,3860,Meiringen,Norbert Durrer,033 971 36 45,info@slanzi.ch,http://www.slanzi.ch/,,D,E,False,False,False,True,1.0,31.07.2023
Malerpraktiker/in EBA,Staub + Hostettler AG Maler- + Gipsergeschäft,Laupenstrasse 13,3176,Neuenegg,Jürg Hostettler,031 741 01 30,info@staub-hostettler.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Malerpraktiker/in EBA,Ziörjen GmbH Malergeschäft,Gässli,3775,Lenk im Simmental,Jürg Ziörjen ,033 733 14 76,farbe@malerzioerjen.com,,,D,E,False,True,False,False,1.0,31.07.2023
Maurer/in EFZ,Aeschlimann AG Baugeschäft + Kieswerk,Gammenthal 676,3454,Sumiswald,Heidi Aeschlimann,034 431 15 41,info@aeschlimannag.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Maurer/in EFZ,"Arm AG Hoch-, Tief- & Strassenbau",Emmentalstrasse 73A,3510,Konolfingen,Hansjörg Steffen,031 791 01 79,info@arm-ag.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Maurer/in EFZ,Bauwerk AG Hoch- und Tiefbau,Lauenenstrasse 102,3780,Gstaad,Michael Gygax,033 748 49 00,info@bauwerk-gstaad.ch,,,D,M,True,True,False,False,1.0,31.07.2023
Maurer/in EFZ,Burn + Künzi AG Bauunternehmung,Burgholz 46,3753,Oey,Karin Straubinger,033 681 82 74,karin.straubinger@burnag.ch,,,D,E,False,False,False,False,2.0,31.07.2023
Maurer/in EFZ,Fritz Leuenberger AG Bauunternehmung,Eisenbahnstrasse 1,3360,Herzogenbuchsee,Fritz Leuenberger,062 961 30 82,info@leubau.ch,,,D,,False,False,False,False,2.0,31.07.2023
Maurer/in EFZ,GALLO Baugeschäft AG,Freiburgstrasse 440,3018,Bern,Piero Gallo,031 991 04 03,piero.gallo@gallobau.ch,,,D,E,True,False,False,False,2.0,31.07.2023
Maurer/in EFZ,Gasser Felstechnik AG  ,Walchistrasse 30 ,6078,Lungern,Kurt Lüthi,041 679 77 68,kl@gasser-bauservice.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Maurer/in EFZ,Gerber + Troxler Bau AG Hoch- und Tiefbau,Gsteigstrasse 24,3806,Bönigen b. Interlaken,Bruno Trittibach,033 827 99 27,info@gt-bau.ch,,,D,M,False,False,False,False,1.0,31.07.2023
Maurer/in EFZ,GLB Berner Mittelland,,,,Florian Guhl,031 888 12 22,fguhl@glb.ch,https://www.glb.ch/karriere#lehrstellen,,D,E,True,False,False,True,1.0,31.07.2023
Maurer/in EFZ,Berger Bau AG,Rütifeldstrasse 12,3294,Büren an der Aare,Hans-Ulrich Zimmermann ,032 353 10 60,info@bergerbau.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Maurer/in EFZ,Herzog Bau und Holzbau AG,Flugbrunnenstrasse 30,3066,Stettlen,Jürg Aebersold,031 330 40 70,info@herzogbau.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Maurer/in EFZ,Hofer AG Bauunternehmung Oberthal,Reutegraben 129a,3531,Oberthal,Adrian Wiedmer,031 710 60 60,hoferag@hofer-bau.ch,,Montag - Freitag Büroarbeitszeiten,D,E,False,False,False,True,1.0,31.07.2023
Maurer/in EFZ,Jesus Dapena AG Bauuternehmung,Florastrasse 19,3800,Interlaken,Jesus Dapena,0338227241,dapena.bau@bluewin.ch,,8.00 - 18.00,D,E,False,False,False,False,1.0,31.07.2023
Maurer/in EFZ,Karl Anderegg AG Bauunternehmung,Sandweg 6,3818,Grindelwald,Patrick Anderegg,033 853 30 23,p.anderegg@karlanderegg.ch,,,D,M,True,False,False,False,2.0,31.07.2023
Maurer/in EFZ,Keller AG Bauen & Erhalten,Hohrainstrasse 25 a,3322,Urtenen-Schönbühl,Patrick Gasser,034 411 31 78,kellerbau@gmx.net,,Montag bis Freitag,D,E,False,False,False,True,1.0,31.07.2023
Maurer/in EFZ,Moratti Mettlen AG Bauunternehmung,Rübeldorfstrasse 78,3792,Saanen,Patrick Moratti,033 744 53 31,patrick@morattiag.ch,,Bürozeiten,D,E,False,False,False,False,1.0,31.07.2023
Maurer/in EFZ,Peter Michel AG Bauunternehmung,Museumsstrasse 25,3855,Brienz BE,Peter Michel,033 951 03 44,peter@petermichelag.ch,,,D,,False,False,False,True,1.0,31.07.2023
Maurer/in EFZ,Rickli & Roth Bau AG,Burghubelstrasse 22,3272,Walperswil,Christian Rickli,079 481 57 66,ch.rickli@rickli-roth.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Maurer/in EFZ,Ritter Bauunternehmung AG,Sonnenstrasse 40,2500,Biel/Bienne 6,Simon Mattli,032 344 63 55,s.mattli@ritterbau.ch,,,D,M,False,False,False,False,1.0,31.07.2023
Maurer/in EFZ,Stämpfli AG Bauunternehmung,Burgdorfstrasse 33,3550,Langnau im Emmental,Beat Galli,034 408 40 40,b.galli@staempfliag.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Maurer/in EFZ,Hoch- + Tiefbau AG Theres Moser ,Waldgasse  28,3360,Herzogenbuchsee,Theres Moser,062 958 10 20,tmoser@sutterbau.ch,,,D,E,False,False,False,False,2.0,31.07.2023
Maurer/in EFZ,Wirz AG Bauunternehmung,Freiburgstrasse 359,3018,Bern,Barbara Pulfer,031 990 77 77,b.pulfer@wirzag.ch,,,D,,False,False,False,False,1.0,31.07.2023
Montage-Elektriker/in EFZ,Beat Bürgin Elektro AG,,,,Sandra Eggimann,031 972 87 00,info@buergin-elektro.ch,http://www.buergin-elektro.ch/,"Montag, Mittwoch und Donnerstag",D,M,False,False,False,True,1.0,31.07.2023
Montage-Elektriker/in EFZ,Bouygues E&S InTec Schweiz AG,Weltpoststrasse 5,3015,Bern,Carmen Mutti,031 378 31 11,lernende.intec.bern@bouygues-es.com,,,D,E,False,False,False,False,5.0,31.07.2023
Montage-Elektriker/in EFZ,CKW Bern-Köniz GmbH,Meriedweg 7,3172,Niederwangen b. Bern,Lorenz Marthaler,031 985 22 22,lorenz.marthaler@ckw.ch,,zu Bürozeiten,D,E,False,False,False,True,1.0,31.05.2023
Montage-Elektriker/in EFZ,Electrio AG Elektrounternehmen,Bahnhofstrasse 26,3713,Reichenbach im Kandertal,Philipp Rubin,033 676 24 24,info@electrio.ch,http://www.electrio.ch/,,D,E,False,True,False,False,1.0,31.07.2023
Montage-Elektriker/in EFZ,Elektro E. Schneider AG,Lenkstrasse 100,3775,Lenk im Simmental,Dominique Schneider,033 733 22 77,info@elektroschneiderag.ch,,7.00 bis 17.00,D,E,False,True,False,False,3.0,31.07.2023
Montage-Elektriker/in EFZ,Elektro ERTI AG,Papiermühlestrasse 11,3013,Bern,Marc Schaller,031 332 18 18,bewerbung@erti.ch,,,D,E,False,False,False,False,2.0,31.07.2023
Montage-Elektriker/in EFZ,Elektro Tschanz GmbH Chalet Birke,Bahnhofstrasse 26,3777,Saanenmöser,Jürg Tschanz,033 744 00 33,info@elektro-tschanz.ch,,,D/F,E,False,False,False,False,1.0,31.07.2023
Montage-Elektriker/in EFZ,Elektro Zürcher AG  ,Hintere Gasse 10,3132,Riggisberg,Bruno Spycher,031 809 02 18,spycher.b@elektrozuercherag.ch,,,D,E,True,False,False,False,1.0,31.07.2023
Montage-Elektriker/in EFZ,elentec GmbH,Brennerstrasse 16,3550,Langnau im Emmental,David Thommen,034 408 10 06,d.thommen@elentec.ch,,,D,E,True,False,False,False,1.0,31.07.2023
Montage-Elektriker/in EFZ,Enertech AG,Funtenenstrasse 1,3860,Meiringen,Martin Lüthi,0339725451,martin.luethi@enertech.ch,,,D,E,False,False,False,False,1.0,31.07.2023
Montage-Elektriker/in EFZ,ETAVIS Arnold AG,Waldeggstrasse 47,3097,Liebefeld,Rufer André,031 309 66 66,bern@etavis.ch,,,D,E,False,False,False,False,2.0,31.07.2023
Montage-Elektriker/in EFZ,ETAVIS Arnold AG,Dorfstrasse 72,3661,Uetendorf,Steve Gerber,,thun@etavis.ch,,,D,,False,False,False,False,1.0,31.07.2023
